now_us,budget,p_frag,avg_rbd,max_rbd,trend_pressure,victim_count
1777442538560480,12,0.428721368,0.457285315,0.599983692,0,8
1777442548560896,12,0.526761413,0.550423324,0.599983692,0,8
1777442558561175,12,0.512812734,0.537172139,0.599983692,0,8
1777442568561320,12,0.535328567,0.55856216,0.599983692,0,8
1777442578561465,12,0.494408816,0.519688368,0.599983692,0,8
1777442588561788,12,0.536598027,0.55976814,0.599983692,0,8
1777442598562001,12,0.540361583,0.563343525,0.599983692,0,8
1777442608562215,12,0.522193789,0.546084106,0.599983692,0,8
1777442618562504,12,0.554105282,0.576400042,0.599995434,0,8
1777442628562742,12,0.534611464,0.557880878,0.599995434,0,8
1777442638563121,12,0.554039955,0.576337934,0.599983692,0,8
1777442648563325,12,0.550731838,0.573195219,0.599983692,0,8
1777442658563534,12,0.528318286,0.551902413,0.599995434,0,8
1777442668563766,12,0.547310114,0.56994462,0.599995434,0,8
